Host Response Rate,Latitude,Longitude,Accomodates,Bathrooms,Bedrooms,Beds,Price,Guests Included,Min Nights,Reviews,Overall Rating,Accuracy Rating,Cleanliness Rating,Checkin Rating,Communication Rating,Location Rating,Value Rating,Host Response Time_a few days or more,Host Response Time_within a day,Host Response Time_within a few hours,Host Response Time_within an hour,Is Superhost_t,neighbourhood_Alt-Treptow,neighbourhood_Charlottenburg,neighbourhood_Friedrichshain,neighbourhood_Kreuzberg,neighbourhood_Lichtenberg,neighbourhood_Mitte,neighbourhood_Moabit,neighbourhood_NeukÃ¶lln,neighbourhood_Other,neighbourhood_Pankow,neighbourhood_Prenzlauer Berg,neighbourhood_Reinickendorf,neighbourhood_Rummelsburg,neighbourhood_SchÃ¶neberg,neighbourhood_Steglitz,neighbourhood_Tempelhof,neighbourhood_Tiergarten,neighbourhood_Wedding,neighbourhood_WeiÃensee,neighbourhood_Westend,neighbourhood_Wilmersdorf,Neighborhood Group_Friedrichshain-Kreuzberg,Neighborhood Group_Lichtenberg,Neighborhood Group_Marzahn - Hellersdorf,Neighborhood Group_Mitte,Neighborhood Group_NeukÃ¶lln,Neighborhood Group_Pankow,Neighborhood Group_Reinickendorf,Neighborhood Group_Spandau,Neighborhood Group_Steglitz - Zehlendorf,Neighborhood Group_Tempelhof - SchÃ¶neberg,Neighborhood Group_Treptow - KÃ¶penick,Is Exact Location_t,Property Type_Bed and breakfast,Property Type_Boat,Property Type_Boutique hotel,Property Type_Bungalow,Property Type_Cabin,Property Type_Condominium,Property Type_Cottage,Property Type_Earth house,Property Type_Guest suite,Property Type_Guesthouse,Property Type_Hostel,Property Type_Hotel,Property Type_House,Property Type_Houseboat,Property Type_Loft,Property Type_Other,Property Type_Serviced apartment,Property Type_Tiny house,Property Type_Townhouse,Property Type_Villa,Room Type_Private room,Room Type_Shared room,Instant Bookable_t
100.0,52.53796,13.39535,2,1.0,1.0,1.0,70.0,2,2,20,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,52.52163,13.44829,2,1.0,1.0,1.0,59.0,1,2,21,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,52.53118,13.46558,2,1.0,1.0,0.0,40.0,1,1,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
100.0,52.50994,13.46449,2,1.0,1.0,1.0,45.0,1,2,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,52.4965,13.44221,4,1.0,1.0,4.0,125.0,3,1,29,99.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
100.0,52.5399,13.41618,3,1.0,1.0,2.0,65.0,2,24,246,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,52.52386,13.38347,6,1.5,3.0,3.0,250.0,5,3,177,92.0,10.0,10.0,9.0,9.0,10.0,10.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,52.53686,13.42544,2,1.0,1.0,1.0,92.0,1,4,247,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,52.55873,13.47501,2,1.0,1.0,2.0,35.0,1,1,70,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
100.0,52.51497,13.30569,4,1.0,2.0,3.0,75.0,1,3,17,95.0,10.0,9.0,10.0,10.0,10.0,10.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
