index,Review ID,review_date,Reviewer ID,Reviewer Name,Comments,Listing ID,Listing URL,Listing Name,Host ID,Host URL,Host Name,Host Since,Host Response Time,Host Response Rate,Is Superhost,neighbourhood,Neighborhood Group,City,Postal Code,Country Code,Country,Latitude,Longitude,Is Exact Location,Property Type,Room Type,Accomodates,Bathrooms,Bedrooms,Beds,Square Feet,Price,Guests Included,Min Nights,Reviews,First Review,Last Review,Overall Rating,Accuracy Rating,Cleanliness Rating,Checkin Rating,Communication Rating,Location Rating,Value Rating,Instant Bookable,Business Travel Ready
425975,148759129.0,05-01-17,6424668.0,Jean-Charles,"Anna's place is as good as described.
Very close from the subway, the appartment is very well located. 
Moreover Anna was very nice and left us a list of good places where to hang out.
Thanks again !",8247088,https://www.airbnb.com/rooms/8247088,ROOM IN WELL CONNECTED APARTMENT IN CENTER,20594022,https://www.airbnb.com/users/show/20594022,Anna,08-27-14,,,f,Wedding,Mitte,Berlin,13355,DE,Germany,52.53796,13.39535,t,Apartment,Private room,2,1.0,1.0,1.0,,70.00,2,2,20,10-01-15,01-05-19,94.0,10.0,9.0,10.0,10.0,10.0,9.0,f,f
391704,275999337.0,06-12-18,56097579.0,Ramy,"TrÃ¨s bel appartement, bien situÃ©, recommandÃ©!",6695238,https://www.airbnb.com/rooms/6695238,SchÃ¶ne 1-Zimmer-Wohnung in F-Hain,19044451,https://www.airbnb.com/users/show/19044451,Julia,07-28-14,,,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10249.0,DE,Germany,52.52163,13.44829,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,,59.00,1,2,21,06-09-15,09-22-18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f
317860,449159387.0,05-06-19,46216027.0,Laura Lind,"Alina and her boyfriend are both very friendly and helpful hosts, the place is clean and close to public transportation. A great place to stay!",33473307,https://www.airbnb.com/rooms/33473307,Private Room at Volkspark Prenzlauer Berg,78887435,https://www.airbnb.com/users/show/78887435,Alina,06-20-16,within an hour,100%,f,Fennpfuhl,Lichtenberg,Berlin,10369,DE,Germany,52.53118,13.46558,f,Apartment,Private room,2,1.0,1.0,0.0,,40.00,1,1,3,05-06-19,05-12-19,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f
240086,295857076.0,07-24-18,35058155.0,Oscar,"Great location, so arranging for check in and check out, very clean and nice appartement in a very calm street. 
I would recommend it to anyone, it is also in a great neighborhood with lots of restaurants, bars, and public transportations to anywhere in ",24181070,https://www.airbnb.com/rooms/24181070,Lovely room in the heart of Friedrichshain,53305731,https://www.airbnb.com/users/show/53305731,Natalja,01-04-16,within a few hours,100%,t,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,DE,Germany,52.50994,13.46449,t,Apartment,Private room,2,1.0,1.0,1.0,,45.0,1,2,7,06-23-18,05-10-19,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f
292949,423863258.0,03-15-19,63790591.0,Isabel,Sehr schÃ¶ne Unterkunft mit toller zentraler Lage. Wir kommen gerne wieder :),29527972,https://www.airbnb.com/rooms/29527972,Apartment 1 in Kreuzberg at GÃ¶rlitzer Park,190957759,https://www.airbnb.com/users/show/190957759,Stella & Lara,05-22-18,within an hour,100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10997.0,DE,Germany,52.4965,13.44221,f,Serviced apartment,Entire home/apt,4,1.0,1.0,4.0,,125.00,3,1,29,02-03-19,05-13-19,99.0,10.0,10.0,10.0,10.0,10.0,9.0,t,f
319243,29269958.0,04-06-15,9421433.0,Lauren,We absolutely loved Illiana's place! She was there when we arrived to meet us and gave us the perfect suggestion of going to Maria Bonita's for some Mexican food since we were very hungry. She also sent along a few other names of places for us to check o,3408290,https://www.airbnb.com/rooms/3408290,AMAZING FLAT IN THE COOLEST AREA,4284392,https://www.airbnb.com/users/show/4284392,Lena,11-29-12,within a few hours,100%,f,Prenzlauer Berg,Pankow,Berlin,10435,DE,Germany,52.5399,13.41618,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,,65.00,2,24,246,07-05-14,02-02-19,92.0,9.0,9.0,10.0,10.0,10.0,9.0,f,f
206009,95605777.0,08-20-16,41535969.0,Gert,Zorgen dat dr ruimte superschool was.,2162565,https://www.airbnb.com/rooms/2162565,"Huge, complete & central Mitte!",721022,https://www.airbnb.com/users/show/721022,Maria,06-20-11,within an hour,100%,t,Mitte,Mitte,Berlin,10117.0,DE,Germany,52.52386,13.38347,t,Apartment,Entire home/apt,6,1.5,3.0,3.0,,250.0,5,3,177,02-10-14,04-29-19,92.0,10.0,10.0,9.0,9.0,10.0,10.0,f,f
443603,97941583.0,08-29-16,14757334.0,Michael,"The location is in a very relax and comfortable area. Restaurants are only blocks away and taxi is close by.  Yet, it is still a very quite place to stay.  The host is super, she is not just assisting , she actually provides you more information than you",919931,https://www.airbnb.com/rooms/919931,CUTEÂ´NÂ´COSY - HAPPYSTYLISH - CENTRE,4942666,https://www.airbnb.com/users/show/4942666,Verda,02-02-13,within a few hours,100%,t,Prenzlauer Berg,Pankow,Berlin,10405.0,DE,Germany,52.53686,13.42544,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,,92.00,1,4,247,04-04-13,03-20-19,98.0,10.0,10.0,10.0,10.0,10.0,9.0,t,f
213534,285547890.0,07-04-18,187547100.0,Anna,"We loved staying with Rene and Anja! They were great hosts, and their tiny house was adorable. We really enjoyed the fresh breakfast that they made us each morning. They also have wonderful ducks and chickens which add to the gardenâs atmosphere. Some ",22154155,https://www.airbnb.com/rooms/22154155,Tiny House in Berlin-Weissensee,161792772,https://www.airbnb.com/users/show/161792772,RenÃ©,12-08-17,within an hour,100%,t,WeiÃensee,Pankow,Berlin,13088.0,DE,Germany,52.55873,13.47501,f,Tiny house,Entire home/apt,2,1.0,1.0,2.0,,35.00,1,1,70,04-05-18,05-05-19,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f
295415,436437213.0,04-13-19,123826168.0,Svetlana,"Roomy flat, but not clean",29962850,https://www.airbnb.com/rooms/29962850,"Zentraler Altbau,  toller Blick + gute Anbindung",225277104,https://www.airbnb.com/users/show/225277104,Gelfo,11-11-18,within a day,100%,t,Charlottenburg,Charlottenburg-Wilm.,Berlin,10585.0,DE,Germany,52.51497,13.30569,t,Apartment,Entire home/apt,4,1.0,2.0,3.0,,75.00,1,3,17,11-30-18,04-20-19,95.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f
223272,315571914.0,08-29-18,44872574.0,Meaghan,"Great location and apartment, very nice host. Her place was really nice, the chair in the room is insanely comfortable. If I come back to Berlin Iâd stay here again. Thanks for having us!! ",22884009,https://www.airbnb.com/rooms/22884009,SchÃ¶nes Altbau-Zimmer im Prenzlauer Berg,15132751,https://www.airbnb.com/users/show/15132751,Angela,05-05-14,within an hour,100%,f,Prenzlauer Berg,Pankow,Berlin,10405.0,DE,Germany,52.53366,13.42031,t,Apartment,Private room,2,1.0,1.0,1.0,,30.00,1,3,41,02-19-18,05-03-19,93.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f
111657,181213288.0,08-12-17,140701972.0,Tessa,"Although I only stayed for 2 nights and although I haven't ever been to Berlin before, my stay at Annie's couldn't have been better. Clean, tidied up, and on top i felt that she really enjoyed being a host and offering her home for others. Quiet, peacefu",16386214,https://www.airbnb.com/rooms/16386214,"Sweet, chilly 1 Room-Appartment near AkazienstraÃe",44227999,https://www.airbnb.com/users/show/44227999,Annie,09-15-15,,,f,SchÃ¶neberg,Tempelhof - SchÃ¶neberg,Berlin,10829.0,DE,Germany,52.4816,13.36226,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,,40.00,1,4,13,12-26-16,12-24-18,93.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f
1322,5350123.0,06-25-13,6731496.0,Selina,"I visited Maciej in June with my boyfriend and we had a great stay at his place. The apartment was wonderfu- it was spacious and clean. Maciej is a very friendly host who took good care of us as his guests. He gace us a map of the city, had 2 bottles of ",1005341,https://www.airbnb.com/rooms/1005341,Nice room in Prenzlauer Berg-Berlin,5529386,https://www.airbnb.com/users/show/5529386,Maciej,03-19-13,within an hour,100%,t,Prenzlauer Berg,Pankow,Berlin,10405.0,DE,Germany,52.53752,13.42168,t,Apartment,Private room,2,1.0,1.0,1.0,0.0,36.0,1,3,51,04-28-13,09-27-18,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f
389688,8078394.0,10-15-13,7105392.0,Marcia,"We had a very nice stay at Benjamins appartement. It is a very clean place with a good bed, only a few minutes from the subway. Although Ben was not in town, getting the keys was easy.
A recommandable stay!.",661782,https://www.airbnb.com/rooms/661782,"super-central, green and modern",201003,https://www.airbnb.com/users/show/201003,Ben,08-14-10,within a day,88%,f,Hansaviertel,Mitte,Berlin,10557.0,DE,Germany,52.51427,13.33635,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,450.0,75.00,2,61,57,09-18-12,04-16-19,97.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f
